variable_name,label,type,data_type,description,original_question_text,notes
age,Age,demographic,ordered categorical,,What is your age?,
gender,Gender,demographic,categorical,,Which of these best describes your current gender identity?,"""Gender nonconforming / genderqueer"" and ""Non-binary / third gender"" categories were combined to protect anonymity.  Non-responses were combined with ""Other / Prefer not to say"" responses as ""Other/No Answer"""
male,Male,demographic,logical,"indicator of gender == ""Male""",Which of these best describes your current gender identity?,
ethnicity1,Race/Ethnicity,demographic,categorical,"All respondents are coded in a single category of this variable, which combines responses from two survey questions.","Which racial/ethnic group do you identify as?  Are you of Hispanic, Latino, or Spanish origin?","There were non-white respondents who identified as Hispanic, however these respondents are not identified via this variable to protect anonymity.  Non-responses on the question of Hispanic origin were included in the ""White (Not Hispanic)"" category."
white,White,demographic,logical,"Respondents who chose ""White"" in response to Which racial/ethnic group do you identify as? or respondents to indicated White as part of an ""Other"" response to that question.",Which racial/ethnic group do you identify as?,
asian,Asian,demographic,logical,"Respondents who chose ""Asian"" in response to Which racial/ethnic group do you identify as? or respondents to indicated Asian as part of an ""Other"" response to that question.",Which racial/ethnic group do you identify as?,
hispanic,Hispanic,demographic,logical,,"Are you of Hispanic, Latino, or Spanish origin?",
us_perm,US Citizen/Permanent Resident,demographic,logical,,Are you a citizen or permanent resident of the United States of America?,
sex_orientation,Sexual Orientation,demographic,categorical,,Which of these best describes your current sexual orientation?,
heterosexual,Heterosexual,demographic,logical,"Respondents who indicated ""Heterosexual / Straight"" as their sexual orientation.  ""False"" values of this variable indicate that the respondent reported a different sexual orientation.",Which of these best describes your current sexual orientation?,
disability,Has a Disability,demographic,logical,,Do you have a disability?,
education,Education,experience,ordered categorical,Highest educational level completed,What is the highest degree you have earned?,Some response categories were combined to protect anonymity.
experience_rcd,Years of RCD Experience,experience,numeric,,How many years of work experience do you have as a Research Computing and Data (RCD) professional?,
experience_work,Years of Work Experience (Total),experience,numeric,,"How many years of work experience do you have in total, including both RCD and non-RCD experience?",There are a few cases where the value reported for this question was larger than the value reported for experience_rcd; these discrepencies were preserved.
experience_rcd_only,All Work Experience in RCD,experience,logical,Whether all of a respondent's years of work experience are in the RCD field,,Whether experience_rcd_prop = 1
experience_non_academic_rcd,Non-Academic RCD Work Experience,experience,logical,Whether the respondent indicates any experience with RCD positions outside of academia,,Whether experience_rcd > experience_rcd_academic
experience_academic,Academic,experience,logical,,Which types of organizations have you worked for? Academic Institution or University,
experience_nonprofit,Non-Profit,experience,logical,,Which types of organizations have you worked for? Non-academic Non-profit,
experience_lab,National Lab,experience,logical,,Which types of organizations have you worked for? Federal National Laboratory,
experience_gov,Government,experience,logical,,Which types of organizations have you worked for? Government,
experience_corporate,Corporate,experience,logical,,Which types of organizations have you worked for? Company or Corporation,
