variable,institutions_all.csv,education_work_all_respondents.csv,education_work_rcd_respondents.csv,satisfaction_rcd_respondents.csv,facings.csv,job_titles.csv,var_frequencies_all_respondents.csv,inclusion.csv,gender_counts.csv,ethnicity_counts.csv
academic_institution,individual responses,individual responses,individual responses,,,,,,,
any_last_applied,,,,individual responses,,,frequencies,,,
education,,individual responses,individual responses,,,,frequencies,,,
education_field_arts,,individual responses,,,,,frequencies,,,
education_field_computer,,individual responses,,,,,frequencies,,,
education_field_count,,individual responses,,,,,frequencies,,,
education_field_earth,,individual responses,,,,,frequencies,,,
education_field_engineering,,individual responses,,,,,frequencies,,,
education_field_life,,individual responses,,,,,frequencies,,,
education_field_ljbe,,individual responses,,,,,frequencies,,,
education_field_math,,individual responses,,,,,frequencies,,,
education_field_other,,individual responses,,,,,frequencies,,,
education_field_physical,,individual responses,,,,,frequencies,,,
education_field_sochum,,individual responses,,,,,frequencies,,,
education_field_social,,individual responses,,,,,frequencies,,,
education_related,,individual responses,individual responses,,,,frequencies,frequencies,,
employer_type,individual responses,,,,,,,,,
experience_corporate,,individual responses,,,,,frequencies,,,
experience_non_academic_rcd,,individual responses,,,,,frequencies,,,
experience_rcd,,individual responses,individual responses,,,,,,,
experience_rcd_only,,individual responses,,,,,frequencies,,,
experience_work,,individual responses,individual responses,,,,,,,
facings_data,,,,,individual responses,,,,,
facings_data_majority,,,,,individual responses,,,,,
facings_familiar,,,,,individual responses,,,,,
facings_number,,,,,individual responses,,,,,
facings_other,,,,,individual responses,,,,,
facings_researcher,,,,,individual responses,,,,,
facings_researcher_majority,,,,,individual responses,,,,,
facings_software,,,,,individual responses,,,,,
facings_software_majority,,,,,individual responses,,,,,
facings_strategy,,,,,individual responses,,,,,
facings_strategy_majority,,,,,individual responses,,,,,
facings_systems,,,,,individual responses,,,,,
facings_systems_majority,,,,,individual responses,,,,,
institution_code,individual responses,,,,,,,,,
institution_combo_group,individual responses,,individual responses,,,,,,,
institution_type,individual responses,,,,,,,,,
job_analyst,,,,,,individual responses,,,,
job_application,,,,,,individual responses,,,,
job_architect,,,,,,individual responses,,,,
job_compute,,,,,,individual responses,,,,
job_consult,,,,,,individual responses,,,,
job_data,,,,,,individual responses,,,,
job_datascience,,,,,,individual responses,,,,
job_director,,,,,,individual responses,,,,
job_engineer,,,,,,individual responses,,,,
job_facilitate,,,,,,individual responses,,,,
job_hpc,,,,,,individual responses,,,,
job_info,,,,,,individual responses,,,,
job_informatic,,,,,,individual responses,,,,
job_infrastructure,,,,,,individual responses,,,,
job_lead,,,,,,individual responses,,,,
job_library,,,,,,individual responses,,,,
job_manager,,,,,,individual responses,,,,
job_professor,,,,,,individual responses,,,,
job_research,,,,,,individual responses,,,,
job_scientist,,,,,,individual responses,,,,
job_senior,,,,,,individual responses,,,,
job_services,,,,,,individual responses,,,,
job_software,,,,,,individual responses,,,,
job_specialist,,,,,,individual responses,,,,
job_sysadmin,,,,,,individual responses,,,,
job_system,,,,,,individual responses,,,,
job_title_alternate,,,,,,individual responses,,,,
job_title_official,,,,,,individual responses,,,,
management_staff_role,,,individual responses,,,,,,frequencies,frequencies
onsite_remote,,,individual responses,,,,,,,
position_category,,,individual responses,,,,,frequencies,frequencies,
position_fulltime,,,individual responses,,,,,,,
position_funding,,,individual responses,,,,,,,
position_group_rc,,,individual responses,,,,,,,
position_group_tenure,,,individual responses,,,,,,,
position_group_tenure_cat,,,individual responses,,,,,,,
position_hourly,,,individual responses,,,,,,,
position_percent_rcd,,,individual responses,,,,,,,
position_scope,,,individual responses,,,,,,,
position_tenure,,,individual responses,,,,,,,
position_type,,,individual responses,,,,,,frequencies,
promoted,,,individual responses,individual responses,,,,,frequencies,frequencies
public_private,individual responses,,,,,,,,,
rcd_future,,,,individual responses,,,frequencies,,,
rcd_opportunities,,,,individual responses,,,frequencies,,,
rcd_recommend,,,,individual responses,,,frequencies,,frequencies,frequencies
rcd_satisfaction,,,,individual responses,,,frequencies,,,
satisfaction_position,,,,individual responses,,,,,,
supervise_staff,,,individual responses,,,,,,frequencies,frequencies
supervise_student_workers,,,individual responses,,,,,,,
valued_manager,,,,individual responses,,,,,,
valued_org,,,,individual responses,,,,,,
valued_peers,,,,individual responses,,,,,,
valued_researchers,,,,individual responses,,,,,,
age,,,,,,,frequencies,,,
asian,,,,,,,frequencies,,,
disability,,,,,,,frequencies,frequencies,,
ethnicity1,,,,,,,frequencies,,,
experience_academic,,,,,,,frequencies,,,
experience_gov,,,,,,,frequencies,,,
experience_lab,,,,,,,frequencies,,,
experience_nonprofit,,,,,,,frequencies,,,
experience_self,,,,,,,frequencies,,,
gender,,,,,,,frequencies,,,
heterosexual,,,,,,,,frequencies,,
hispanic,,,,,,,frequencies,frequencies,,
male,,,,,,,,frequencies,,
overall,,,,,,,,frequencies,,
rcd_employed,,,,,,,frequencies,,,
rcd_included,,,,,,,frequencies,,,
rcd_last_applied,,,,,,,frequencies,,,
rcd_satisfied,,,,,,,frequencies,,,
sex_orientation,,,,,,,frequencies,,,
us_perm,,,,,,,frequencies,frequencies,,
white,,,,,,,frequencies,frequencies,,
