institution_combo_group,academic_institution,position_group_rc,position_type,position_category,position_group_tenure,position_tenure,position_group_tenure_cat,position_percent_rcd,promoted,experience_rcd,experience_work,supervise_staff,supervise_student_workers,management_staff_role,position_hourly,position_fulltime,position_funding,onsite_remote,position_scope,education,education_related
R1 public,TRUE,FALSE,Staff,Individual contributor,6,6,5-9,100,FALSE,6,22,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Department,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,1,1,<2,100,FALSE,1,3,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Department,PhD or Doctorate,Extremely related
R1 private,TRUE,FALSE,Staff,Director,5,2,5-9,90,TRUE,7,7,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
R1 public,TRUE,TRUE,Staff,Manager,5,2,5-9,100,TRUE,5,10,FALSE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Director,5,5,5-9,100,TRUE,17,20,TRUE,TRUE,TRUE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,National,Master's Degree,Extremely related
R1 private,TRUE,FALSE,Staff,Lead/principal individual contributor,7,5,5-9,30,TRUE,7,21,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,18,18,10+,25,FALSE,18,30,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
Government,FALSE,FALSE,NA,Lead/principal individual contributor,30,18,10+,100,TRUE,43,43,TRUE,FALSE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,NA,Individual contributor,10,1,10+,100,TRUE,10,16,FALSE,FALSE,FALSE,FALSE,TRUE,NA,Remotely,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,NA,Staff,"AVP, VP, CIO, or other senior leader",15,2,10+,100,TRUE,20,23,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Director,15,6,10+,100,TRUE,15,15,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 public,TRUE,NA,Staff,Individual contributor,7,7,5-9,100,FALSE,7,10,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
R2 public,TRUE,FALSE,Staff,Senior individual contributor,8,8,5-9,100,FALSE,8,40,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Research Group,Master's Degree,Very related
R1 private,TRUE,TRUE,Staff,Individual contributor,1,1,<2,90,FALSE,3,3,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,5,3,5-9,80,TRUE,5,12,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,College or School,PhD or Doctorate,Moderately related
NA,NA,FALSE,NA,Senior individual contributor,8,1,5-9,50,TRUE,8,17,FALSE,TRUE,FALSE,FALSE,TRUE,NA,Remotely,National,Master's Degree,Very related
R2 public,TRUE,FALSE,Staff,Lead/principal individual contributor,1,1,<2,75,FALSE,1,30,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Very related
Other Academic public,TRUE,FALSE,Student position / internship,Student position / internship,1,1,<2,20,FALSE,1,5,FALSE,FALSE,FALSE,TRUE,FALSE,Mixture,On-site at my employer,College or School,No Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,3,3,2-4,100,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),Remotely,National,PhD or Doctorate,Not at all related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,10,2,10+,100,TRUE,10,30,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Very related
R1 public,TRUE,FALSE,Staff,Manager,2,0,<2,100,TRUE,8,8,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 private,TRUE,FALSE,Staff,Senior individual contributor,2,11,2-4,100,TRUE,12,21,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Very related
Other Academic public,TRUE,FALSE,Staff,Senior individual contributor,19,19,10+,100,FALSE,19,25,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,Bachelor's Degree,Not at all related
Medical,FALSE,FALSE,NA,Lead/principal individual contributor,11,8,10+,100,TRUE,11,21,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,Center or Institute,Bachelor's Degree,Slightly related
Other,FALSE,FALSE,NA,Senior individual contributor,15,7,10+,100,TRUE,15,22,FALSE,TRUE,FALSE,FALSE,TRUE,NA,On-site at my employer,National,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Faculty,Individual contributor,3,1,2-4,100,FALSE,3,4,FALSE,FALSE,FALSE,TRUE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Extremely related
R1 private,TRUE,FALSE,Staff,Director,2,2,<2,100,FALSE,20,27,TRUE,FALSE,TRUE,NA,NA,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,3,3,2-4,80,FALSE,20,20,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Director,5,5,5-9,100,TRUE,22,22,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,National,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,1,1,<2,100,FALSE,1,22,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,20,20,10+,80,FALSE,20,27,TRUE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
Other Academic private,TRUE,FALSE,Staff,Manager,19,19,10+,10,FALSE,1,30,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
Other Academic public,TRUE,FALSE,Staff,Senior individual contributor,2,5,2-4,100,FALSE,21,21,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,23,3,10+,100,TRUE,23,23,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,No Bachelor's Degree,Extremely related
R2 public,TRUE,NA,Staff,Director,9,7,5-9,100,FALSE,18,35,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
Other Academic public,TRUE,FALSE,Faculty,Faculty,6,2,5-9,10,TRUE,6,10,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Research Group,PhD or Doctorate,Slightly related
Medical,FALSE,TRUE,Staff,Senior individual contributor,8,8,5-9,90,FALSE,12,18,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
