facings_familiar,facings_number,facings_researcher,facings_data,facings_software,facings_systems,facings_strategy,facings_other,facings_researcher_majority,facings_data_majority,facings_software_majority,facings_systems_majority,facings_strategy_majority
Sort of,2,70,30,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,3,30,50,0,0,0,20,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,4,60,30,5,5,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,5,35,30,20,10,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,20,20,10,50,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,5,30,5,35,10,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,30,20,40,15,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,0,20,20,60,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,5,20,35,30,10,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,10,30,45,10,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,20,20,5,5,50,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,1,100,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,4,0,60,30,10,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
Sort of,5,30,5,10,50,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,6,15,15,20,35,5,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,15,0,15,70,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,3,0,20,10,70,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,2,10,0,0,0,90,0,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,3,10,15,0,75,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,5,65,5,15,5,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,4,0,5,15,75,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,5,30,25,20,20,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,30,0,10,50,10,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,3,35,30,35,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,40,0,25,0,25,10,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,25,25,25,25,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,0,50,30,20,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,6,10,5,5,10,50,20,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,2,90,10,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,1,100,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,5,20,20,10,40,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,50,20,20,10,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,4,0,40,30,25,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,6,15,15,15,20,15,15,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,15,10,10,60,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,6,30,25,10,20,5,10,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,30,10,25,25,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,10,10,40,35,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,6,10,10,10,10,50,10,FALSE,FALSE,FALSE,FALSE,TRUE
No,1,100,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,5,5,5,5,80,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,6,10,10,30,15,15,20,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,10,20,30,35,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,20,0,10,0,70,0,FALSE,FALSE,FALSE,FALSE,TRUE
Sort of,2,90,10,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,3,25,0,0,5,70,0,FALSE,FALSE,FALSE,FALSE,TRUE
Sort of,4,0,25,0,25,25,25,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,15,5,40,35,0,5,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,30,30,30,10,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,50,40,10,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,4,10,20,65,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,25,20,5,20,25,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,2,0,0,0,85,15,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,3,40,0,0,0,30,30,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,50,15,5,25,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,3,20,10,70,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Sort of,4,75,0,10,10,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,3,35,35,35,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,10,30,20,40,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,20,10,0,0,70,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,5,20,20,20,20,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,30,0,30,30,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,0,0,50,50,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,20,0,0,10,70,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,4,35,0,25,30,0,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,35,35,0,0,15,15,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,60,10,10,5,15,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,3,0,0,10,80,10,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,5,15,5,25,50,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,3,30,0,50,20,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,4,55,20,10,0,15,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,0,40,10,40,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,20,5,20,45,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,6,30,15,25,10,10,10,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,80,10,0,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,2,0,25,75,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,45,5,15,15,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,25,35,15,5,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,30,40,20,0,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,2,0,0,0,95,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,6,10,5,50,15,10,10,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,25,20,25,20,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
NA,5,35,20,5,10,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,90,0,5,5,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,5,60,5,5,5,25,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,3,80,10,10,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,3,80,10,0,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,2,25,75,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,3,60,10,0,0,30,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,50,10,35,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,45,0,30,20,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,70,20,10,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,3,40,40,0,0,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,3,5,0,30,65,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,5,30,30,10,20,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,20,0,50,0,10,20,FALSE,FALSE,TRUE,FALSE,FALSE
No,2,70,0,0,0,30,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,5,30,10,30,10,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,20,10,20,30,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,60,10,5,5,20,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,3,25,35,40,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,25,25,0,10,40,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,75,10,10,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,6,50,10,5,5,20,10,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,10,0,10,0,60,20,FALSE,FALSE,FALSE,FALSE,TRUE
No,6,5,5,10,10,65,5,FALSE,FALSE,FALSE,FALSE,TRUE
NA,3,0,0,20,75,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,3,70,20,10,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,2,10,0,90,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,4,5,40,0,50,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,5,20,20,20,20,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,10,85,0,0,5,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,4,60,0,20,10,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,40,0,40,0,10,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,1,0,0,0,100,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,4,30,5,0,0,60,5,FALSE,FALSE,FALSE,FALSE,TRUE
No,3,50,40,0,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,6,20,25,30,5,0,15,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,20,20,10,30,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,10,0,70,20,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,4,75,5,15,0,0,5,TRUE,FALSE,FALSE,FALSE,FALSE
No,6,10,20,35,20,10,5,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,6,30,20,15,10,10,20,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,20,10,0,40,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,3,10,5,85,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,50,5,10,5,30,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,3,50,40,0,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,5,35,35,10,10,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,6,30,45,0,5,15,5,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,60,10,10,10,15,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,5,10,20,5,55,10,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,5,40,20,20,15,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,30,30,10,0,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,6,20,15,15,30,10,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,6,70,5,10,5,5,5,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,6,65,15,5,5,5,5,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,2,65,0,35,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,5,25,20,5,5,45,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,4,0,10,10,65,15,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,3,10,90,0,5,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,5,30,20,5,30,15,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,6,20,15,15,15,15,20,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,25,5,45,15,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,2,0,0,90,10,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,15,40,15,5,25,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,60,10,5,0,25,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,4,10,0,10,70,0,10,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,3,65,0,0,25,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,4,25,0,60,5,10,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,40,10,10,20,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,70,15,5,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,2,0,0,0,90,0,10,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,5,20,15,10,35,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,20,0,45,35,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,5,10,85,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,4,30,0,30,0,30,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,50,25,10,15,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,25,25,25,25,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,65,5,10,0,20,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,3,0,5,0,90,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,2,40,0,60,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Sort of,4,30,20,30,20,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,50,0,40,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,5,30,20,20,20,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,30,10,5,20,35,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,60,10,30,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,6,30,10,20,10,5,25,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,20,0,50,10,0,20,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,40,15,30,10,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,4,10,0,10,70,10,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,6,25,15,25,25,5,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,10,80,10,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
No,4,0,0,10,80,5,5,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,2,85,0,0,0,15,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,6,25,10,20,25,5,20,FALSE,FALSE,FALSE,FALSE,FALSE
No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yes,3,35,0,0,35,35,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,6,20,5,30,10,30,5,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,4,25,0,25,45,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,30,30,40,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,20,30,0,20,20,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,25,0,60,15,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,2,0,0,40,60,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,4,45,5,45,5,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,0,10,80,0,0,10,FALSE,FALSE,TRUE,FALSE,FALSE
No,3,40,0,0,0,20,40,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,10,10,5,5,70,0,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,2,50,0,0,0,50,0,TRUE,FALSE,FALSE,FALSE,TRUE
Yes,5,35,10,15,20,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,2,0,0,60,40,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Sort of,3,60,20,0,0,20,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,70,10,15,5,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,5,10,55,5,25,5,0,FALSE,TRUE,FALSE,FALSE,FALSE
Sort of,4,35,45,5,0,15,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,60,10,10,10,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,6,20,20,5,20,25,10,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,30,20,0,50,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,6,30,5,25,10,5,20,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,2,0,0,0,5,95,0,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,3,40,0,0,40,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,20,0,45,35,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,6,20,20,10,40,10,5,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,0,0,10,50,40,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,6,15,15,20,30,5,15,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,35,0,15,5,45,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,50,0,40,5,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,1,100,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,5,50,25,10,5,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,6,5,15,30,45,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,6,5,25,5,40,25,5,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,2,80,20,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,5,25,10,25,10,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,4,5,5,20,70,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,3,0,20,70,10,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,4,0,90,5,0,0,5,FALSE,TRUE,FALSE,FALSE,FALSE
Sort of,5,30,10,30,10,0,20,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,20,20,20,20,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,75,5,5,5,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,40,30,20,0,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,85,5,10,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,4,30,0,30,25,15,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,5,10,70,10,5,0,FALSE,FALSE,TRUE,FALSE,FALSE
Sort of,3,70,10,20,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,6,10,10,10,10,50,10,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,5,5,10,10,0,70,5,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,5,40,10,20,15,15,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,6,25,20,40,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,20,0,60,10,10,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,5,30,30,30,5,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
