satisfaction_position,rcd_satisfaction,rcd_opportunities,rcd_recommend,rcd_future,valued_peers,valued_manager,valued_researchers,valued_org,promoted,any_last_applied
Somewhat dissatisfied,Somewhat satisfied,Somewhat disagree,7,Somewhat agree,Sometimes,Most of the time,About half the time,Sometimes,TRUE,Within the last month
Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly disagree,8,Neither agree nor disagree,About half the time,About half the time,Always,About half the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,10,Somewhat agree,NA,Always,Always,Most of the time,FALSE,Within the last month
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Most of the time,Most of the time,Sometimes,TRUE,1-6 months ago
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat disagree,6,Somewhat disagree,Most of the time,Most of the time,Most of the time,Sometimes,FALSE,Within the last month
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Neither agree nor disagree,About half the time,Most of the time,About half the time,Sometimes,FALSE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,5,Somewhat disagree,Most of the time,Most of the time,Always,About half the time,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,NA,Neither agree nor disagree,Most of the time,Always,Always,NA,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,6,Strongly agree,Sometimes,Sometimes,Sometimes,Sometimes,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat disagree,5,Somewhat disagree,About half the time,Sometimes,Sometimes,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,7,Neither agree nor disagree,Most of the time,Always,About half the time,About half the time,TRUE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Most of the time,About half the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Most of the time,Always,Always,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat dissatisfied,Somewhat agree,4,Neither agree nor disagree,Always,Always,Always,NA,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,10,Neither agree nor disagree,Always,Always,Always,Always,TRUE,1-2 years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,NA,5,NA,NA,NA,NA,NA,FALSE,Within the last month
Neither satisfied nor dissatisfied,Extremely satisfied,Strongly agree,9,Strongly agree,NA,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,6,Somewhat agree,Always,Most of the time,Always,Most of the time,TRUE,1-6 months ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,10,Somewhat agree,Most of the time,Always,Most of the time,Always,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,About half the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,9,Neither agree nor disagree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Always,Always,Sometimes,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,NA
Extremely dissatisfied,Somewhat dissatisfied,Strongly disagree,0,Somewhat disagree,Never,Sometimes,Never,Sometimes,TRUE,1-6 months ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Neither agree nor disagree,NA,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,10,Neither agree nor disagree,Most of the time,Never,Most of the time,Sometimes,FALSE,1-2 years ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly disagree,NA,Strongly disagree,Most of the time,Most of the time,Most of the time,NA,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,6,Somewhat agree,Sometimes,Most of the time,Sometimes,Sometimes,FALSE,7-12 months ago
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,3,Somewhat disagree,Most of the time,Sometimes,Always,Never,TRUE,More than two years ago
